;time;open;high;low;close;tick_volume;spread;real_volume
5892;2017-08-23 05:00:00;0.96889;0.969;0.96792;0.96793;7955;6;0
5893;2017-08-23 06:00:00;0.96793;0.96829;0.96789;0.96804;12085;4;0
5894;2017-08-23 07:00:00;0.96804;0.96896;0.96794;0.96852;9870;5;0
5895;2017-08-23 08:00:00;0.96852;0.96853;0.96764;0.96803;4798;6;0
5896;2017-08-23 09:00:00;0.96803;0.96875;0.96774;0.96818;12030;4;0
5897;2017-08-23 10:00:00;0.96818;0.96991;0.9674;0.96838;16863;4;0
5898;2017-08-23 11:00:00;0.96837;0.96868;0.96772;0.96839;14828;5;0
5899;2017-08-23 12:00:00;0.96839;0.96869;0.96789;0.968;14692;4;0
5900;2017-08-23 13:00:00;0.96801;0.96917;0.96779;0.96912;10442;4;0
5901;2017-08-23 14:00:00;0.96912;0.96926;0.96637;0.9664;14528;4;0
5902;2017-08-23 15:00:00;0.96638;0.96638;0.96424;0.96541;15858;4;0
5903;2017-08-23 16:00:00;0.96541;0.96588;0.96456;0.96566;15365;4;0
5904;2017-08-23 17:00:00;0.96567;0.96615;0.96442;0.96476;18475;4;0
5905;2017-08-23 18:00:00;0.9648;0.96718;0.9647;0.96672;15638;4;0
5906;2017-08-23 19:00:00;0.96671;0.96687;0.96576;0.96611;10693;5;0
5907;2017-08-23 20:00:00;0.96611;0.96619;0.96412;0.96554;14131;5;0
5908;2017-08-23 21:00:00;0.96554;0.96601;0.96472;0.96506;12181;4;0
5909;2017-08-23 22:00:00;0.96511;0.96556;0.96491;0.96527;11699;4;0
5910;2017-08-23 23:00:00;0.96529;0.96584;0.9647;0.96491;11120;5;0
5911;2017-08-24 00:00:00;0.96501;0.96596;0.96417;0.96492;7010;7;0
5912;2017-08-24 01:00:00;0.96492;0.96533;0.96491;0.96502;27274;9;0
5913;2017-08-24 02:00:00;0.96501;0.96507;0.96484;0.96486;11775;6;0
5914;2017-08-24 03:00:00;0.96491;0.96607;0.96488;0.96606;11307;6;0
5915;2017-08-24 04:00:00;0.96606;0.96637;0.96584;0.96632;17306;4;0
5916;2017-08-24 05:00:00;0.96631;0.96682;0.96591;0.96596;9448;6;0
5917;2017-08-24 06:00:00;0.96596;0.96663;0.96596;0.96599;8870;7;0
5918;2017-08-24 07:00:00;0.96599;0.96637;0.96567;0.96587;10145;6;0
5919;2017-08-24 08:00:00;0.96587;0.96591;0.96513;0.96529;10211;4;0
5920;2017-08-24 09:00:00;0.96528;0.96656;0.96513;0.96645;11555;5;0
5921;2017-08-24 10:00:00;0.96644;0.96673;0.9647;0.9647;16973;5;0
5922;2017-08-24 11:00:00;0.9647;0.9658;0.9643;0.9653;15613;4;0
5923;2017-08-24 12:00:00;0.9653;0.96563;0.96478;0.96513;16103;5;0
5924;2017-08-24 13:00:00;0.96513;0.96521;0.96403;0.96459;17134;5;0
5925;2017-08-24 14:00:00;0.96459;0.96506;0.96403;0.96403;15734;5;0
5926;2017-08-24 15:00:00;0.96407;0.9645;0.96314;0.96376;16945;4;0
5927;2017-08-24 16:00:00;0.96376;0.96449;0.96209;0.96282;14747;4;0
5928;2017-08-24 17:00:00;0.96282;0.96542;0.96199;0.96439;18146;4;0
5929;2017-08-24 18:00:00;0.96441;0.96481;0.96369;0.96468;16879;5;0
5930;2017-08-24 19:00:00;0.96468;0.96527;0.96405;0.9644;10394;5;0
5931;2017-08-24 20:00:00;0.9644;0.9648;0.96362;0.96457;8400;5;0
5932;2017-08-24 21:00:00;0.96457;0.9659;0.96425;0.96573;7655;5;0
5933;2017-08-24 22:00:00;0.96572;0.96599;0.9652;0.9656;8480;4;0
5934;2017-08-24 23:00:00;0.9656;0.9657;0.96517;0.96524;7465;6;0
5935;2017-08-25 00:00:00;0.96519;0.96558;0.96502;0.96505;3106;5;0
5936;2017-08-25 01:00:00;0.96506;0.96536;0.96484;0.96512;31228;16;0
5937;2017-08-25 02:00:00;0.96511;0.96548;0.96497;0.96525;30328;10;0
5938;2017-08-25 03:00:00;0.9653;0.96592;0.96517;0.96556;21728;5;0
5939;2017-08-25 04:00:00;0.96555;0.96566;0.96483;0.96511;13729;4;0
5940;2017-08-25 05:00:00;0.96517;0.9652;0.96477;0.96493;8380;6;0
